,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,28.0,33.33,0.0
1,OTHER,0.0,100.0,0.0
2,NATIVE-AM,0.0,0.0,0.0
3,HISP-LT,100.0,33.33,0.0
4,ASIA-PI,100.0,0.0,0.0
5,WHITE,73.4,78.84,0.0
6,BLACK,58.97,64.29,0.0
