,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,47.39,48.34,0.0
1,OTHER,54.55,59.26,100.0
2,NATIVE-AM,37.5,47.06,0.0
3,HISP-LT,37.29,58.49,0.0
4,ASIA-PI,38.46,56.76,0.0
5,WHITE,61.91,60.94,50.0
6,BLACK,28.57,31.58,0.0
