,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,100.0,55.78,100.0,100.0,100.0,57.72,100.0,56.92
1,80.0,64.14,80.0,80.0,80.0,68.19,80.0,66.22
2,20.0,32.93,20.0,20.0,20.0,44.48,20.0,39.5
3,50.0,66.69,50.0,50.0,50.0,67.68,50.0,67.19
4,40.0,58.29,40.0,40.0,40.0,61.35,40.0,59.9
5,40.0,50.58,40.0,40.0,40.0,55.99,40.0,53.52
6,100.0,51.5,100.0,100.0,100.0,55.37,100.0,53.57
7,16.67,50.0,16.67,16.67,16.67,58.87,16.67,54.96
8,50.0,50.85,50.0,50.0,50.0,55.29,50.0,53.2
9,20.0,42.11,20.0,20.0,20.0,55.25,20.0,49.88
10,0.0,41.85,0.0,0.0,0.0,49.73,0.0,46.41
11,50.0,53.81,50.0,50.0,50.0,59.25,50.0,56.72
12,57.14,44.14,57.14,57.14,57.14,55.98,57.14,51.19
13,60.0,47.66,60.0,60.0,60.0,53.94,60.0,51.17
14,25.0,53.82,25.0,25.0,25.0,57.16,25.0,55.61
15,50.0,49.58,50.0,50.0,50.0,53.89,50.0,51.88
16,66.67,57.29,66.67,66.67,66.67,64.71,66.67,61.3
17,46.15,57.6,46.15,46.15,46.15,64.08,46.15,61.14
18,25.0,52.55,25.0,25.0,25.0,61.72,25.0,57.63
19,66.67,53.37,66.67,66.67,66.67,59.62,66.67,56.88
20,25.0,59.57,25.0,25.0,25.0,65.14,25.0,62.45
21,100.0,64.18,100.0,100.0,100.0,70.88,100.0,67.83
22,37.5,57.66,37.5,37.5,37.5,65.65,37.5,61.92
23,25.0,52.45,25.0,25.0,25.0,62.94,25.0,58.35
24,,0.0,,,,3.7,,1.71
25,0.0,3.39,0.0,0.0,0.0,0.0,0.0,1.79
26,42.11,52.7,42.11,42.11,42.11,59.11,42.11,56.21
