,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,45.16,52.05,0.0
1,OTHER,33.33,37.5,0.0
2,NATIVE-AM,0.0,100.0,0.0
3,HISP-LT,42.86,66.67,0.0
4,ASIA-PI,75.0,50.0,0.0
5,WHITE,67.25,69.08,50.0
6,BLACK,60.44,74.78,0.0
