,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,28.21,42.35,0.0
1,OTHER,57.14,80.0,0.0
2,NATIVE-AM,0.0,100.0,0.0
3,HISP-LT,36.84,27.27,0.0
4,ASIA-PI,58.33,37.5,100.0
5,WHITE,59.35,56.46,0.0
6,BLACK,54.41,49.58,100.0
