,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,0.0,29.0,0.0,0.0,0.0,31.68,0.0,30.47
1,,38.26,,,,37.16,,37.63
2,0.0,43.57,0.0,0.0,0.0,44.58,0.0,44.12
3,33.33,48.59,33.33,33.33,33.33,51.57,33.33,50.24
4,0.0,58.2,0.0,0.0,0.0,58.28,0.0,58.2
5,0.0,57.14,0.0,0.0,0.0,60.52,0.0,58.92
6,100.0,61.66,100.0,100.0,100.0,63.16,100.0,62.49
7,66.67,64.6,66.67,66.67,66.67,67.11,66.67,65.96
8,66.67,71.93,66.67,66.67,66.67,69.75,66.67,70.69
9,40.0,56.34,40.0,40.0,40.0,56.74,40.0,56.55
