,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,63.44,60.5,0.0,61.86
1,60.74,61.16,,60.96
2,55.04,54.42,100.0,54.75
3,63.75,59.93,,61.8
4,60.95,62.18,66.67,61.61
5,62.98,62.19,100.0,62.68
6,64.48,65.59,,65.05
7,63.01,61.18,100.0,62.17
8,50.32,53.44,100.0,52.06
9,51.6,49.7,100.0,50.59
10,62.17,61.62,100.0,61.92
11,60.3,58.44,50.0,59.3
12,46.28,48.2,0.0,47.37
13,53.22,57.51,25.0,55.53
14,49.63,50.39,100.0,50.06
15,50.76,54.65,100.0,53.07
16,50.72,52.21,60.0,51.58
17,55.44,54.29,,54.77
18,41.26,52.09,0.0,47.43
19,66.67,71.76,,69.24
20,47.81,44.84,100.0,46.25
21,56.25,55.13,50.0,55.68
22,53.47,52.61,0.0,52.98
23,50.65,52.83,100.0,51.86
24,40.0,400.0,,100.0
25,54.94,55.34,59.38,55.16
