,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,18.18,30.69,18.18,18.18,18.18,36.15,18.18,33.54
1,66.67,39.32,66.67,66.67,66.67,44.45,66.67,42.04
2,100.0,45.05,100.0,100.0,100.0,50.88,100.0,48.16
3,50.0,52.47,50.0,50.0,50.0,56.26,50.0,54.5
4,50.0,56.42,50.0,50.0,50.0,60.99,50.0,58.8
5,28.57,59.76,28.57,28.57,28.57,64.39,28.57,62.1
6,100.0,64.5,100.0,100.0,100.0,66.29,100.0,65.45
7,100.0,68.52,100.0,100.0,100.0,68.91,100.0,68.74
8,40.0,73.81,40.0,40.0,40.0,68.27,40.0,70.76
9,45.0,55.84,45.0,45.0,45.0,58.07,45.0,57.02
