,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,32.79,56.6,0.0
1,OTHER,50.0,55.56,0.0
2,NATIVE-AM,0.0,0.0,0.0
3,HISP-LT,58.62,45.71,0.0
4,ASIA-PI,29.41,40.0,0.0
5,WHITE,61.76,61.9,0.0
6,BLACK,55.76,69.35,25.0
