,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,21.65,25.32,0.0
1,OTHER,0.0,75.0,0.0
2,NATIVE-AM,0.0,0.0,0.0
3,HISP-LT,14.29,20.0,0.0
4,ASIA-PI,0.0,0.0,0.0
5,WHITE,62.99,63.68,0.0
6,BLACK,46.47,52.03,0.0
