,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,,64.49,,,,64.91,,64.71
1,,60.12,,,,66.67,,63.37
2,,55.56,,,,55.95,,55.75
3,100.0,72.35,100.0,100.0,100.0,72.73,100.0,72.62
4,100.0,53.96,100.0,100.0,100.0,58.22,100.0,56.13
5,100.0,53.36,100.0,100.0,100.0,56.72,100.0,55.11
6,,59.27,,,,65.08,,62.05
7,0.0,67.53,0.0,0.0,0.0,61.64,0.0,64.43
8,0.0,60.09,0.0,0.0,0.0,58.54,0.0,59.2
9,100.0,61.65,100.0,100.0,100.0,61.25,100.0,61.47
10,0.0,61.92,0.0,0.0,0.0,64.26,0.0,62.99
11,100.0,65.45,100.0,100.0,100.0,65.26,100.0,65.42
12,,,,,,0.0,,0.0
13,55.56,59.98,55.56,55.56,55.56,61.03,55.56,60.51
