,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,,61.23,,,,63.94,,62.61
1,0.0,52.27,0.0,0.0,0.0,55.26,0.0,53.84
2,,48.53,,,,45.88,,47.23
3,100.0,53.07,100.0,100.0,100.0,52.07,100.0,52.59
4,0.0,41.5,0.0,0.0,0.0,45.07,0.0,43.36
5,33.33,42.89,33.33,33.33,33.33,45.06,33.33,44.09
6,,39.79,,,,39.74,,39.76
7,66.67,45.35,66.67,66.67,66.67,46.23,66.67,45.84
8,,24.77,,,,26.81,,25.91
9,50.0,39.96,50.0,50.0,50.0,38.51,50.0,39.16
10,100.0,56.05,100.0,100.0,100.0,55.67,100.0,55.88
11,50.0,48.14,50.0,50.0,50.0,44.03,50.0,45.9
12,100.0,62.54,100.0,100.0,100.0,60.65,100.0,61.58
13,,0.0,,,,inf,,25.0
14,,0.0,,,,,,0.0
15,50.0,46.76,50.0,50.0,50.0,46.53,50.0,46.63
