,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,32.82,41.04,0.0
1,OTHER,49.12,70.27,50.0
2,NATIVE-AM,100.0,22.22,0.0
3,HISP-LT,39.06,45.7,0.0
4,ASIA-PI,33.05,32.96,0.0
5,WHITE,60.28,58.53,100.0
6,BLACK,47.77,62.95,62.5
