,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,30.0,24.27,30.0,30.0,30.0,34.58,30.0,29.77
1,34.15,30.8,34.15,34.15,34.15,40.95,34.15,36.17
2,30.77,37.56,30.77,30.77,30.77,47.99,30.77,43.09
3,36.84,43.5,36.84,36.84,36.84,54.02,36.84,49.06
4,23.08,49.86,23.08,23.08,23.08,60.26,23.08,55.36
5,54.55,54.05,54.55,54.55,54.55,62.44,54.55,58.53
6,18.75,58.7,18.75,18.75,18.75,65.33,18.75,62.23
7,33.33,64.97,33.33,33.33,33.33,70.23,33.33,67.8
8,38.78,71.95,38.78,38.78,38.78,71.01,38.78,71.38
9,33.33,49.5,33.33,33.33,33.33,57.07,33.33,53.57
