,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,50.69,62.55,55.56,57.29
1,54.24,59.38,55.0,56.95
2,45.96,52.86,66.67,49.83
3,64.49,66.09,55.56,65.29
4,52.23,57.76,61.54,55.04
5,58.88,62.36,73.91,60.74
6,61.82,64.61,50.0,63.25
7,60.17,63.51,50.0,61.86
8,58.46,62.02,60.0,60.42
9,44.17,51.54,28.57,47.99
10,45.62,52.01,46.67,48.98
11,64.41,66.47,66.67,65.45
12,62.19,67.67,58.33,65.01
13,42.42,49.46,27.78,46.3
14,53.35,58.85,44.44,56.31
15,40.35,50.17,58.33,45.67
16,45.53,52.5,64.71,49.43
17,49.87,59.76,83.33,55.37
18,38.92,48.5,55.56,43.97
19,36.72,43.71,63.64,40.6
20,63.52,68.94,75.0,66.56
21,36.1,46.8,36.36,41.75
22,46.31,52.06,38.89,49.33
23,50.35,53.95,46.67,52.24
24,48.26,52.54,63.16,50.65
25,60.78,64.2,41.18,62.52
26,58.88,61.14,55.56,60.07
27,62.84,65.38,16.67,63.99
28,52.75,61.66,30.0,57.63
29,53.89,56.64,63.16,55.37
30,61.59,63.66,66.67,62.68
31,65.0,67.58,75.0,66.37
32,47.08,52.6,66.67,50.16
33,57.33,62.37,50.0,59.93
34,64.7,69.04,57.14,66.95
35,37.77,46.55,50.0,42.57
36,40.1,46.81,30.0,43.58
37,57.92,60.7,46.15,59.4
38,61.11,64.89,55.56,63.04
39,53.65,64.45,60.87,59.62
40,55.02,59.52,60.0,57.4
41,37.93,48.2,53.85,43.65
42,49.14,58.58,50.0,54.31
43,59.19,64.41,100.0,61.99
44,61.27,65.28,66.67,63.47
45,64.16,66.16,81.82,65.26
46,50.75,54.04,62.5,52.5
47,52.56,58.73,50.0,55.81
48,42.47,49.7,50.0,46.57
49,32.71,43.45,52.63,38.68
50,63.75,66.07,60.0,64.94
51,47.29,55.67,76.47,52.2
52,56.68,58.53,69.23,57.67
53,54.37,57.66,64.0,56.16
54,52.06,56.58,81.82,54.64
55,47.71,53.07,48.15,50.52
56,35.32,45.44,57.89,40.87
57,37.13,46.92,61.9,42.79
58,35.31,45.07,72.0,41.04
59,56.68,61.69,62.5,59.38
60,70.85,74.46,40.0,72.59
61,66.77,71.35,71.43,69.07
62,53.64,62.19,54.55,58.37
63,44.11,52.0,41.67,48.02
64,39.56,45.32,45.45,42.62
65,52.35,54.61,52.63,53.58
66,58.47,62.83,46.67,60.66
67,58.96,63.21,45.45,61.19
68,58.22,60.29,38.46,59.19
69,50.94,59.02,60.0,55.34
70,29.37,40.03,43.33,35.46
71,57.25,63.57,100.0,60.86
72,40.02,49.21,70.0,45.34
73,57.14,64.71,45.83,61.18
74,54.44,64.56,60.0,60.03
75,45.77,51.87,64.29,49.21
76,60.5,63.65,29.41,62.04
77,60.91,62.66,54.55,61.79
78,59.4,64.8,65.62,62.24
79,54.03,62.02,75.0,58.4
80,42.96,51.62,52.38,47.94
81,50.97,57.21,44.44,54.19
82,47.92,52.69,47.06,50.4
83,55.57,60.58,65.22,58.2
84,39.58,48.81,54.55,44.72
85,47.09,55.32,83.33,51.38
86,46.25,54.59,66.67,50.93
87,56.36,60.6,50.0,58.57
88,48.59,53.77,50.0,51.39
89,58.75,64.56,25.0,61.79
90,65.66,67.81,100.0,66.81
91,62.44,66.76,57.14,64.6
92,61.29,63.56,50.0,62.48
93,37.38,46.16,57.14,42.44
94,58.05,58.51,66.67,58.32
95,51.94,56.69,36.36,54.35
96,50.97,55.74,54.55,53.47
97,46.93,52.16,78.57,49.79
98,57.63,59.58,56.52,58.63
99,54.67,57.95,55.56,56.46
100,60.23,62.7,100.0,61.62
101,44.94,52.66,47.62,49.16
102,56.0,65.04,65.38,61.12
103,53.61,56.14,45.45,54.93
104,53.0,56.42,63.64,54.82
105,58.07,61.17,100.0,59.7
106,53.1,57.13,75.0,55.43
107,62.6,66.59,0.0,64.45
108,44.95,52.44,28.57,48.81
109,53.2,58.31,77.78,56.14
110,67.04,68.6,50.0,67.79
111,44.38,52.16,37.5,48.34
112,49.0,54.37,45.45,51.79
113,47.67,55.56,57.14,51.86
114,42.02,47.11,45.45,44.75
115,39.58,46.54,77.27,43.66
116,60.33,63.07,57.14,61.72
117,62.38,65.02,61.54,63.76
118,45.8,55.26,42.86,50.64
119,61.54,63.26,33.33,62.32
120,51.16,59.61,69.23,55.93
121,38.48,45.2,33.33,41.99
122,46.23,53.74,73.33,50.39
123,69.74,70.05,78.95,69.99
124,68.49,67.35,60.0,67.88
125,50.55,56.21,50.0,53.57
126,54.08,58.51,50.0,56.29
127,61.62,63.37,73.68,62.56
128,60.81,64.09,70.0,62.5
129,60.64,65.03,54.55,62.86
130,56.22,63.08,40.0,59.72
131,54.88,60.55,61.9,57.83
132,56.86,62.68,63.16,60.14
133,54.15,58.89,60.0,56.66
134,51.63,57.57,57.14,54.73
135,56.51,58.67,47.06,57.62
136,55.38,58.62,51.85,56.99
137,45.69,56.07,41.18,51.31
138,65.16,65.47,47.06,65.23
139,59.91,62.65,50.0,61.3
140,56.2,57.69,66.67,57.02
141,56.42,59.65,64.0,58.18
142,47.07,56.98,61.29,52.61
143,56.38,64.11,44.44,60.6
144,57.51,63.92,43.75,60.92
145,53.73,59.07,53.85,56.62
146,58.0,64.1,71.43,61.16
147,61.88,65.49,54.55,63.71
148,30.3,37.52,47.37,34.22
149,63.76,67.2,85.71,65.65
150,59.34,62.7,65.0,61.14
151,47.1,52.32,28.57,49.8
152,59.48,61.56,54.55,60.53
153,55.37,58.72,64.29,57.2
154,56.53,63.71,46.67,60.5
155,36.36,75.0,,52.63
156,52.84,58.07,56.05,55.63
