,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,20.16,31.93,0.0
1,OTHER,35.29,47.06,0.0
2,NATIVE-AM,0.0,0.0,0.0
3,HISP-LT,27.27,28.21,0.0
4,ASIA-PI,33.33,16.67,0.0
5,WHITE,50.62,49.32,0.0
6,BLACK,30.48,46.88,0.0
