,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,29.41,31.58,29.41,29.41,29.41,43.64,29.41,37.89
1,70.0,41.25,70.0,70.0,70.0,51.74,70.0,47.18
2,60.0,49.21,60.0,60.0,60.0,59.25,60.0,55.08
3,50.0,56.88,50.0,50.0,50.0,66.94,50.0,62.68
4,100.0,63.88,100.0,100.0,100.0,70.6,100.0,67.61
5,75.0,67.74,75.0,75.0,75.0,72.2,75.0,70.14
6,42.86,69.14,42.86,42.86,42.86,73.17,42.86,71.3
7,0.0,72.93,0.0,0.0,0.0,72.93,0.0,72.91
8,69.23,73.52,69.23,69.23,69.23,70.83,69.23,72.02
9,56.04,59.62,56.04,56.04,56.04,65.22,56.04,62.71
