,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,,,,,,0.0,,0.0
1,0.0,63.97,0.0,0.0,0.0,65.06,0.0,64.39
2,66.67,57.73,66.67,66.67,66.67,61.1,66.67,59.48
3,0.0,57.75,0.0,0.0,0.0,61.44,0.0,59.6
4,0.0,65.7,0.0,0.0,0.0,67.6,0.0,66.46
5,33.33,53.69,33.33,33.33,33.33,57.8,33.33,55.89
6,50.0,56.45,50.0,50.0,50.0,57.01,50.0,56.73
7,42.86,63.45,42.86,42.86,42.86,65.36,42.86,64.4
8,50.0,65.08,50.0,50.0,50.0,67.5,50.0,66.31
9,0.0,50.67,0.0,0.0,0.0,54.7,0.0,52.72
10,0.0,54.07,0.0,0.0,0.0,56.97,0.0,55.61
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,28.57,57.54,28.57,28.57,28.57,60.32,28.57,58.95
