,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,63.9,64.54,33.33,64.21
1,66.4,69.65,,68.1
2,61.41,63.68,60.0,62.57
3,70.68,76.35,100.0,73.54
4,62.93,65.03,100.0,64.05
5,58.42,62.6,60.0,60.56
6,51.99,54.06,100.0,53.11
7,54.72,60.77,100.0,58.06
8,51.0,54.13,100.0,52.75
9,42.68,52.13,66.67,48.18
10,53.29,60.06,25.0,56.95
11,62.86,65.17,20.0,63.98
12,56.96,59.07,66.67,58.08
13,61.95,63.87,50.0,62.91
14,44.34,46.45,80.0,45.61
15,67.43,69.18,0.0,68.3
16,60.82,65.58,75.0,63.37
17,61.61,64.05,,62.89
18,65.92,67.79,0.0,66.81
19,71.82,76.88,,74.4
20,68.07,69.17,33.33,68.57
21,0.0,0.0,,0.0
22,58.09,60.94,56.6,59.6
