,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,24.32,42.86,0.0
1,OTHER,40.0,36.36,0.0
2,NATIVE-AM,50.0,0.0,0.0
3,HISP-LT,25.0,30.77,0.0
4,ASIA-PI,15.38,23.53,0.0
5,WHITE,56.6,57.16,0.0
6,BLACK,52.85,67.17,0.0
