,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,48.21,35.61,48.21,48.21,48.21,43.34,48.21,39.71
1,45.78,43.8,45.78,45.78,45.78,51.03,45.78,47.68
2,56.72,51.1,56.72,56.72,56.72,58.09,56.72,54.95
3,40.0,57.08,40.0,40.0,40.0,63.71,40.0,60.7
4,55.77,62.52,55.77,55.77,55.77,67.78,55.77,65.33
5,60.0,66.11,60.0,60.0,60.0,70.06,60.0,68.21
6,71.43,68.84,71.43,71.43,71.43,71.47,71.43,70.24
7,51.72,72.22,51.72,51.72,51.72,72.95,51.72,72.6
8,44.87,75.47,44.87,44.87,44.87,72.28,44.87,73.67
9,51.59,59.92,51.59,51.59,51.59,63.79,51.59,62.0
