,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,50.0,64.3,50.0,50.0,50.0,65.56,50.0,64.94
1,50.0,61.92,50.0,50.0,50.0,62.2,50.0,62.05
2,0.0,62.92,0.0,0.0,0.0,61.64,0.0,62.19
3,0.0,50.0,0.0,0.0,0.0,54.5,0.0,52.56
4,44.44,62.35,44.44,44.44,44.44,64.99,44.44,63.69
5,62.5,60.43,62.5,62.5,62.5,59.74,62.5,60.08
6,18.18,65.76,18.18,18.18,18.18,64.88,18.18,65.2
7,60.0,53.9,60.0,60.0,60.0,57.62,60.0,55.93
8,50.0,61.41,50.0,50.0,50.0,64.05,50.0,62.76
9,50.0,60.98,50.0,50.0,50.0,63.02,50.0,62.03
10,40.0,56.26,40.0,40.0,40.0,58.03,40.0,57.16
11,100.0,62.21,100.0,100.0,100.0,63.78,100.0,63.06
12,33.33,63.91,33.33,33.33,33.33,65.28,33.33,64.54
13,66.67,50.0,66.67,66.67,66.67,58.88,66.67,54.72
14,50.0,37.18,50.0,50.0,50.0,44.34,50.0,41.44
15,52.63,58.69,52.63,52.63,52.63,61.83,52.63,60.35
16,,56.88,,,,59.72,,58.43
17,100.0,60.49,100.0,100.0,100.0,59.36,100.0,59.88
18,45.45,59.7,45.45,45.45,45.45,61.53,45.45,60.62
19,63.64,61.57,63.64,63.64,63.64,62.88,63.64,62.26
20,87.5,65.98,87.5,87.5,87.5,68.22,87.5,67.18
21,,48.25,,,,56.01,,52.57
22,100.0,61.11,100.0,100.0,100.0,67.0,100.0,64.24
23,75.0,62.22,75.0,75.0,75.0,65.32,75.0,63.82
24,33.33,65.58,33.33,33.33,33.33,68.5,33.33,66.97
25,42.11,41.31,42.11,42.11,42.11,46.36,42.11,44.15
26,,0.0,,,,,,0.0
27,,16.67,,,,0.0,,11.11
28,,0.0,,,,0.0,,0.0
29,49.68,57.76,49.68,49.68,49.68,59.94,49.68,58.91
