,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,7.14,30.43,0.0
1,OTHER,50.0,40.0,0.0
2,NATIVE-AM,0.0,0.0,0.0
3,HISP-LT,0.0,50.0,0.0
4,ASIA-PI,20.0,0.0,0.0
5,WHITE,49.46,60.33,50.0
6,BLACK,44.27,55.42,0.0
