,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,0.0,26.55,0.0,0.0,0.0,32.86,0.0,30.03
1,25.0,36.61,25.0,25.0,25.0,47.67,25.0,43.02
2,,45.45,,,,50.63,,48.49
3,50.0,52.39,50.0,50.0,50.0,57.33,50.0,55.24
4,100.0,55.15,100.0,100.0,100.0,61.11,100.0,58.58
5,100.0,61.3,100.0,100.0,100.0,64.73,100.0,63.22
6,100.0,68.03,100.0,100.0,100.0,69.81,100.0,69.08
7,100.0,68.37,100.0,100.0,100.0,70.53,100.0,69.61
8,33.33,69.29,33.33,33.33,33.33,69.57,33.33,69.39
9,55.0,56.56,55.0,55.0,55.0,60.2,55.0,58.62
