,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,56.84,58.85,33.33,57.79
1,64.25,65.6,33.33,64.91
2,56.92,60.98,66.67,59.16
3,37.31,46.68,0.0,42.1
4,72.93,74.53,,73.81
5,70.8,72.76,75.0,71.83
6,55.79,60.48,100.0,58.42
7,62.93,67.33,0.0,65.17
8,55.36,60.73,0.0,58.13
9,61.76,61.35,40.0,61.5
10,34.17,41.68,50.0,38.2
11,36.41,48.48,50.0,42.27
12,35.81,49.23,0.0,42.85
13,39.78,53.37,44.44,46.69
14,27.87,45.84,33.33,37.69
15,40.18,55.06,28.57,48.58
16,38.03,51.7,25.0,45.35
17,35.19,50.5,40.0,43.66
18,36.07,48.87,50.0,42.35
19,47.37,51.55,0.0,49.26
20,52.75,51.13,25.0,51.85
21,28.24,45.61,0.0,38.3
22,37.45,54.22,0.0,46.84
23,36.7,50.63,0.0,44.19
24,50.0,59.41,100.0,55.24
25,66.78,73.12,0.0,69.85
26,41.7,58.67,33.33,50.94
27,37.89,55.77,0.0,47.53
28,51.2,61.8,0.0,56.94
29,37.02,44.8,0.0,41.28
30,47.32,62.24,50.0,55.23
31,71.21,71.51,0.0,71.16
32,52.15,55.59,25.0,53.91
33,58.56,61.01,100.0,59.86
34,63.21,64.2,50.0,63.74
35,63.91,68.22,50.0,66.11
36,56.56,56.67,33.33,56.6
37,65.91,68.11,66.67,67.1
38,65.06,66.79,50.0,65.96
39,60.67,62.61,0.0,61.64
40,72.07,72.12,50.0,72.04
41,73.89,74.51,60.0,74.19
42,74.31,75.35,0.0,74.82
43,73.6,72.55,50.0,72.98
44,39.38,52.93,0.0,46.85
45,28.08,43.59,0.0,36.25
46,34.13,48.67,0.0,41.93
47,47.56,63.08,50.0,56.09
48,27.23,42.8,0.0,35.57
49,36.44,45.39,40.0,41.41
50,43.92,51.6,50.0,48.31
51,39.19,51.12,33.33,45.87
52,38.91,48.43,50.0,44.47
53,43.45,52.35,100.0,48.32
54,64.38,68.1,20.0,66.3
55,54.78,63.48,0.0,59.31
56,46.93,54.32,0.0,50.89
57,39.78,51.73,0.0,46.87
58,38.42,50.15,50.0,45.29
59,48.22,54.25,30.0,51.55
60,51.18,56.7,33.33,54.1
61,37.65,44.75,33.33,41.58
62,43.24,50.32,100.0,46.99
63,46.48,48.4,0.0,47.47
64,42.13,53.4,50.0,48.38
65,38.99,46.15,100.0,42.89
66,41.22,48.53,33.33,45.22
67,41.77,44.76,50.0,43.33
68,44.33,48.12,100.0,46.29
69,39.16,45.79,0.0,42.63
70,39.89,45.44,33.33,42.85
71,36.89,43.39,23.08,40.28
72,43.26,47.61,20.0,45.52
73,62.83,64.22,66.67,63.55
74,43.48,51.52,42.86,47.84
75,45.33,54.54,,50.21
76,26.35,30.58,40.0,28.85
77,39.56,47.43,80.0,43.85
78,43.19,47.5,100.0,45.44
79,25.08,39.66,0.0,33.89
80,31.64,51.03,25.0,42.27
81,35.96,56.36,0.0,46.71
82,36.59,51.35,,44.53
83,34.52,54.94,0.0,46.29
84,34.56,56.63,60.0,46.25
85,50.89,69.15,,60.89
86,30.14,40.2,25.0,35.37
87,25.69,35.62,33.33,30.3
88,33.11,46.67,0.0,40.45
89,0.0,0.0,,0.0
90,0.0,0.0,0.0,0.0
91,,0.0,,0.0
92,46.23,54.01,32.96,50.4
