,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,100.0,35.82,100.0,100.0,100.0,44.23,100.0,40.56
1,,45.42,,,,54.39,,50.47
2,33.33,54.84,33.33,33.33,33.33,60.68,33.33,58.14
3,100.0,60.18,100.0,100.0,100.0,66.48,100.0,63.7
4,100.0,66.2,100.0,100.0,100.0,67.88,100.0,67.12
5,100.0,65.57,100.0,100.0,100.0,70.31,100.0,68.21
6,50.0,69.42,50.0,50.0,50.0,76.64,50.0,73.24
7,100.0,74.45,100.0,100.0,100.0,75.65,100.0,75.11
8,50.0,78.51,50.0,50.0,50.0,77.07,50.0,77.68
9,66.67,64.35,66.67,66.67,66.67,67.92,66.67,66.33
