,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,33.33,59.28,33.33,33.33,33.33,59.88,33.33,59.57
1,,67.91,,,,69.06,,68.49
2,33.33,59.61,33.33,33.33,33.33,59.96,33.33,59.78
3,50.0,54.34,50.0,50.0,50.0,52.88,50.0,53.54
4,75.0,57.72,75.0,75.0,75.0,61.17,75.0,59.6
5,,63.19,,,,62.6,,62.88
6,100.0,52.02,100.0,100.0,100.0,54.27,100.0,53.27
7,42.86,46.24,42.86,42.86,42.86,47.91,42.86,47.15
8,0.0,39.75,0.0,0.0,0.0,47.03,0.0,43.65
9,66.67,58.67,66.67,66.67,66.67,58.12,66.67,58.39
10,28.57,43.61,28.57,28.57,28.57,49.78,28.57,46.91
11,0.0,48.48,0.0,0.0,0.0,53.45,0.0,51.18
12,,67.49,,,,69.26,,68.39
13,,65.26,,,,71.31,,68.44
14,,70.77,,,,67.79,,69.21
15,33.33,59.28,33.33,33.33,33.33,58.86,33.33,59.02
16,50.0,61.81,50.0,50.0,50.0,63.66,50.0,62.77
17,0.0,60.95,0.0,0.0,0.0,62.41,0.0,61.63
18,0.0,61.71,0.0,0.0,0.0,64.68,0.0,63.23
19,62.5,58.3,62.5,62.5,62.5,61.28,62.5,59.81
20,0.0,58.31,0.0,0.0,0.0,58.22,0.0,58.21
21,50.0,55.75,50.0,50.0,50.0,59.57,50.0,57.82
22,20.0,47.06,20.0,20.0,20.0,53.33,20.0,50.42
23,50.0,60.66,50.0,50.0,50.0,62.06,50.0,61.38
24,0.0,55.02,0.0,0.0,0.0,56.63,0.0,55.85
25,50.0,64.93,50.0,50.0,50.0,67.19,50.0,66.06
26,0.0,53.2,0.0,0.0,0.0,59.79,0.0,56.74
27,0.0,52.88,0.0,0.0,0.0,58.71,0.0,56.04
28,100.0,55.4,100.0,100.0,100.0,58.27,100.0,57.06
29,0.0,71.32,0.0,0.0,0.0,66.12,0.0,68.55
30,50.0,64.66,50.0,50.0,50.0,66.41,50.0,65.55
31,33.33,63.75,33.33,33.33,33.33,63.1,33.33,63.37
32,50.0,69.49,50.0,50.0,50.0,69.21,50.0,69.32
33,,49.67,,,,49.8,,49.74
34,50.0,51.71,50.0,50.0,50.0,51.96,50.0,51.84
35,100.0,51.41,100.0,100.0,100.0,53.67,100.0,52.71
36,50.0,60.44,50.0,50.0,50.0,61.8,50.0,61.18
37,0.0,50.27,0.0,0.0,0.0,52.65,0.0,51.48
38,0.0,59.28,0.0,0.0,0.0,60.18,0.0,59.73
39,,68.95,,,,69.31,,69.13
40,0.0,63.56,0.0,0.0,0.0,65.95,0.0,64.79
41,66.67,56.55,66.67,66.67,66.67,60.08,66.67,58.43
42,33.33,64.21,33.33,33.33,33.33,65.83,33.33,65.0
43,,53.2,,,,57.23,,55.36
44,50.0,64.65,50.0,50.0,50.0,64.52,50.0,64.57
45,,0.0,,,,0.0,,0.0
46,39.13,57.54,39.13,39.13,39.13,59.21,39.13,58.41
