,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,,57.18,,,,66.29,,62.25
1,,67.11,,,,68.45,,67.84
2,,61.23,,,,66.92,,64.29
3,,63.75,,,,69.29,,66.67
4,,64.0,,,,62.82,,63.43
5,100.0,67.8,100.0,100.0,100.0,70.68,100.0,69.26
6,,,,,,25.0,,25.0
7,100.0,64.45,100.0,100.0,100.0,67.98,100.0,66.31
