,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,33.33,56.84,33.33,33.33,33.33,58.85,33.33,57.79
1,33.33,64.25,33.33,33.33,33.33,65.6,33.33,64.91
2,66.67,56.92,66.67,66.67,66.67,60.98,66.67,59.16
3,0.0,37.31,0.0,0.0,0.0,46.68,0.0,42.1
4,,72.93,,,,74.53,,73.81
5,75.0,70.8,75.0,75.0,75.0,72.76,75.0,71.83
6,100.0,55.79,100.0,100.0,100.0,60.48,100.0,58.42
7,0.0,62.93,0.0,0.0,0.0,67.33,0.0,65.17
8,0.0,55.36,0.0,0.0,0.0,60.73,0.0,58.13
9,40.0,61.76,40.0,40.0,40.0,61.35,40.0,61.5
10,50.0,34.17,50.0,50.0,50.0,41.68,50.0,38.2
11,50.0,36.41,50.0,50.0,50.0,48.48,50.0,42.27
12,0.0,35.81,0.0,0.0,0.0,49.23,0.0,42.85
13,44.44,39.78,44.44,44.44,44.44,53.37,44.44,46.69
14,33.33,27.87,33.33,33.33,33.33,45.84,33.33,37.69
15,28.57,40.18,28.57,28.57,28.57,55.06,28.57,48.58
16,25.0,38.03,25.0,25.0,25.0,51.7,25.0,45.35
17,40.0,35.19,40.0,40.0,40.0,50.5,40.0,43.66
18,50.0,36.07,50.0,50.0,50.0,48.87,50.0,42.35
19,0.0,47.37,0.0,0.0,0.0,51.55,0.0,49.26
20,25.0,52.75,25.0,25.0,25.0,51.13,25.0,51.85
21,0.0,28.24,0.0,0.0,0.0,45.61,0.0,38.3
22,0.0,37.45,0.0,0.0,0.0,54.22,0.0,46.84
23,0.0,36.7,0.0,0.0,0.0,50.63,0.0,44.19
24,100.0,50.0,100.0,100.0,100.0,59.41,100.0,55.24
25,0.0,66.78,0.0,0.0,0.0,73.12,0.0,69.85
26,33.33,41.7,33.33,33.33,33.33,58.67,33.33,50.94
27,0.0,37.89,0.0,0.0,0.0,55.77,0.0,47.53
28,0.0,51.2,0.0,0.0,0.0,61.8,0.0,56.94
29,0.0,37.02,0.0,0.0,0.0,44.8,0.0,41.28
30,50.0,47.32,50.0,50.0,50.0,62.24,50.0,55.23
31,0.0,71.21,0.0,0.0,0.0,71.51,0.0,71.16
32,25.0,52.15,25.0,25.0,25.0,55.59,25.0,53.91
33,100.0,58.56,100.0,100.0,100.0,61.01,100.0,59.86
34,50.0,63.21,50.0,50.0,50.0,64.2,50.0,63.74
35,50.0,63.91,50.0,50.0,50.0,68.22,50.0,66.11
36,33.33,56.56,33.33,33.33,33.33,56.67,33.33,56.6
37,66.67,65.91,66.67,66.67,66.67,68.11,66.67,67.1
38,50.0,65.06,50.0,50.0,50.0,66.79,50.0,65.96
39,0.0,60.67,0.0,0.0,0.0,62.61,0.0,61.64
40,50.0,72.07,50.0,50.0,50.0,72.12,50.0,72.04
41,60.0,73.89,60.0,60.0,60.0,74.51,60.0,74.19
