,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,29.53,36.64,0.0
1,OTHER,34.09,40.8,12.5
2,NATIVE-AM,23.9,36.63,100.0
3,HISP-LT,29.32,34.6,25.0
4,ASIA-PI,33.23,36.36,33.33
5,WHITE,54.34,56.53,50.55
6,BLACK,41.22,56.55,24.59
