,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,18.92,31.71,0.0
1,OTHER,25.0,33.33,0.0
2,NATIVE-AM,0.0,0.0,0.0
3,HISP-LT,75.0,33.33,0.0
4,ASIA-PI,0.0,0.0,0.0
5,WHITE,36.46,51.85,0.0
6,BLACK,24.88,46.04,0.0
