,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,51.86,59.19,25.0,55.8
1,57.22,56.72,25.0,56.9
2,57.17,59.07,,58.14
3,40.24,52.47,100.0,47.82
4,60.86,59.72,100.0,60.3
5,64.2,67.11,100.0,65.81
6,61.81,62.3,20.0,61.98
7,46.7,59.6,100.0,54.1
8,60.28,63.46,50.0,62.0
9,48.45,53.8,0.0,51.32
10,59.24,62.26,,60.86
11,60.0,62.58,,61.27
12,56.7,57.64,,57.22
13,55.58,54.39,0.0,54.84
14,61.11,66.34,,63.75
15,58.54,63.69,0.0,61.19
16,49.06,56.54,0.0,53.24
17,48.46,60.39,,55.26
18,59.76,61.29,33.33,60.61
19,,0.0,,0.0
20,0.0,6.25,,3.03
21,54.99,59.02,41.18,57.22
