,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,,57.49,,,,58.57,,58.05
1,,,,,,0.0,,0.0
2,,59.65,,,,60.19,,59.93
3,50.0,59.09,50.0,50.0,50.0,58.26,50.0,58.65
4,66.67,55.76,66.67,66.67,66.67,56.56,66.67,56.2
5,,67.91,,,,70.38,,69.18
6,,61.86,,,,67.09,,64.2
7,100.0,54.99,100.0,100.0,100.0,52.52,100.0,53.71
8,,61.52,,,,65.32,,63.43
9,,60.51,,,,60.47,,60.49
10,,58.82,,,,60.36,,59.61
11,,0.0,,,,0.0,,0.0
12,,,,,,0.0,,0.0
13,66.67,58.76,66.67,66.67,66.67,59.09,66.67,58.94
