,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,33.33,30.14,33.33,33.33,33.33,31.61,33.33,30.93
1,,38.81,,,,40.85,,39.92
2,50.0,45.18,50.0,50.0,50.0,47.63,50.0,46.56
3,100.0,52.61,100.0,100.0,100.0,53.88,100.0,53.31
4,75.0,59.32,75.0,75.0,75.0,58.65,75.0,58.98
5,50.0,60.89,50.0,50.0,50.0,61.29,50.0,61.09
6,100.0,66.44,100.0,100.0,100.0,64.63,100.0,65.47
7,100.0,70.08,100.0,100.0,100.0,70.05,100.0,70.07
8,50.0,72.94,50.0,50.0,50.0,68.67,50.0,70.58
9,55.56,58.26,55.56,55.56,55.56,57.63,55.56,57.92
