,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,59.28,59.88,33.33,59.57
1,67.91,69.06,,68.49
2,59.61,59.96,33.33,59.78
3,54.34,52.88,50.0,53.54
4,57.72,61.17,75.0,59.6
5,63.19,62.6,,62.88
6,52.02,54.27,100.0,53.27
7,46.24,47.91,42.86,47.15
8,39.75,47.03,0.0,43.65
9,58.67,58.12,66.67,58.39
10,43.61,49.78,28.57,46.91
11,48.48,53.45,0.0,51.18
12,67.49,69.26,,68.39
13,65.26,71.31,,68.44
14,70.77,67.79,,69.21
15,59.28,58.86,33.33,59.02
16,61.81,63.66,50.0,62.77
17,60.95,62.41,0.0,61.63
18,61.71,64.68,0.0,63.23
19,58.3,61.28,62.5,59.81
20,58.31,58.22,0.0,58.21
21,55.75,59.57,50.0,57.82
22,47.06,53.33,20.0,50.42
23,60.66,62.06,50.0,61.38
24,55.02,56.63,0.0,55.85
25,64.93,67.19,50.0,66.06
26,53.2,59.79,0.0,56.74
27,52.88,58.71,0.0,56.04
28,55.4,58.27,100.0,57.06
29,71.32,66.12,0.0,68.55
30,64.66,66.41,50.0,65.55
31,63.75,63.1,33.33,63.37
32,69.49,69.21,50.0,69.32
33,49.67,49.8,,49.74
34,51.71,51.96,50.0,51.84
35,51.41,53.67,100.0,52.71
36,60.44,61.8,50.0,61.18
37,50.27,52.65,0.0,51.48
38,59.28,60.18,0.0,59.73
39,68.95,69.31,,69.13
40,63.56,65.95,0.0,64.79
41,56.55,60.08,66.67,58.43
42,64.21,65.83,33.33,65.0
43,53.2,57.23,,55.36
44,64.65,64.52,50.0,64.57
45,0.0,0.0,,0.0
46,57.54,59.21,39.13,58.41
