,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,0.0,0.0,0.0,0.0
1,53.04,64.32,0.0,58.96
2,66.88,68.62,,67.77
3,72.87,73.7,,73.3
4,74.6,78.39,0.0,76.71
5,37.68,51.97,100.0,45.58
6,69.3,72.91,0.0,71.14
7,61.42,61.8,,61.63
8,62.73,69.49,,66.52
9,62.83,70.3,50.0,66.85
10,57.54,56.36,33.33,56.94
11,71.98,73.52,,72.8
12,56.96,58.4,,57.69
13,54.85,62.07,100.0,58.79
14,62.03,58.72,0.0,60.19
15,55.01,62.53,0.0,58.97
16,61.85,63.24,,62.57
17,57.39,69.81,0.0,64.21
18,52.21,67.38,,60.36
19,44.63,57.41,0.0,51.71
20,61.74,67.81,0.0,64.78
21,38.74,50.37,33.33,45.03
22,45.13,61.84,,54.33
23,30.08,43.35,0.0,37.09
24,48.85,65.52,,58.21
25,56.54,59.28,0.0,57.77
26,52.96,65.54,0.0,60.19
27,51.05,67.13,33.33,60.24
28,54.77,56.8,,55.88
29,73.84,75.09,33.33,74.52
30,56.43,60.7,20.0,58.86
31,35.62,45.34,0.0,40.85
32,46.52,59.37,0.0,53.79
33,36.81,52.6,0.0,45.8
34,53.6,60.73,50.0,57.38
35,50.71,53.77,,52.28
36,47.79,60.5,0.0,54.7
37,38.98,50.88,0.0,45.45
38,37.31,49.35,0.0,43.8
39,53.47,67.58,33.33,61.29
40,19.39,23.37,100.0,21.33
41,34.75,40.06,0.0,37.48
42,70.28,72.34,100.0,71.44
43,70.62,73.22,33.33,71.98
44,63.21,65.7,100.0,64.55
45,47.31,51.69,0.0,49.43
46,55.8,59.97,,57.92
47,50.22,51.58,50.0,50.87
48,47.86,60.09,0.0,54.17
49,54.17,55.87,50.0,55.05
50,73.03,72.53,,72.76
51,52.04,54.19,18.18,53.11
52,71.5,75.72,,73.68
53,56.84,65.72,0.0,61.76
54,66.02,69.6,,67.85
55,71.36,73.2,0.0,72.32
56,59.76,66.63,0.0,63.45
57,57.76,60.71,,59.33
58,47.94,51.35,62.5,50.05
59,33.72,48.37,0.0,42.24
60,73.44,78.59,0.0,76.0
61,40.82,58.35,0.0,50.5
62,55.14,68.51,0.0,62.61
63,54.12,68.95,0.0,62.89
64,37.23,48.95,0.0,43.47
65,48.47,67.23,,58.95
66,36.84,51.44,100.0,45.25
67,46.33,56.77,25.0,51.98
68,63.47,64.22,50.0,63.92
69,49.21,58.17,0.0,54.0
70,48.86,60.9,,55.3
71,47.51,51.82,0.0,49.85
72,37.0,52.72,100.0,46.08
73,43.88,54.94,0.0,49.86
74,55.03,57.46,,56.33
75,61.46,64.08,100.0,62.86
76,55.46,57.02,0.0,56.29
77,71.87,73.99,,72.93
78,47.05,63.38,50.0,56.2
79,52.95,55.2,100.0,54.16
80,48.08,57.73,,53.25
81,34.91,46.23,0.0,40.28
82,72.77,74.7,50.0,73.73
83,42.9,51.84,20.0,47.41
84,39.73,54.82,0.0,47.94
85,70.62,72.25,0.0,71.45
86,58.02,71.17,0.0,64.8
87,61.22,71.34,25.0,66.74
88,44.75,59.58,40.0,52.84
