,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,52.98,60.4,33.33,57.02
1,60.84,62.7,0.0,61.73
2,57.26,61.2,66.67,59.32
3,34.08,46.67,66.67,41.49
4,52.17,58.69,70.0,55.75
5,0.0,,,0.0
6,54.33,60.95,25.0,57.91
7,50.29,60.51,33.33,55.96
8,59.04,67.33,33.33,63.53
9,55.67,63.93,66.67,60.33
10,51.2,61.23,40.0,56.79
11,56.43,62.71,100.0,60.07
12,63.76,67.73,33.33,65.81
13,65.37,69.58,66.67,67.58
14,59.97,67.01,40.0,63.85
15,47.54,58.21,44.44,53.87
16,49.09,57.54,50.0,53.68
17,54.4,59.67,57.14,57.27
18,65.73,66.87,50.0,66.32
19,61.25,70.75,33.33,66.28
20,56.1,63.08,0.0,59.71
21,57.03,66.98,0.0,62.47
22,63.45,73.19,100.0,68.64
23,61.7,64.69,60.0,63.27
24,45.46,57.89,20.0,52.71
25,54.61,62.81,75.0,59.11
26,59.47,66.29,66.67,63.18
27,62.66,66.46,83.33,64.71
28,62.47,69.29,60.0,66.2
29,44.06,55.33,66.67,50.45
30,65.97,69.27,100.0,67.72
31,59.49,67.67,33.33,63.89
32,59.73,64.94,50.0,62.45
33,60.4,62.66,83.33,61.61
34,50.45,56.39,66.67,53.63
35,60.71,63.59,0.0,62.19
36,57.53,63.62,25.0,60.96
37,64.85,69.74,,67.37
38,0.0,0.0,,0.0
39,0.0,0.0,,0.0
40,,0.0,,0.0
41,0.0,,,0.0
42,,0.0,,0.0
43,,0.0,,0.0
44,55.75,62.51,51.85,59.44
