,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,,43.1,,,,46.35,,44.73
1,,43.75,,,,52.19,,48.33
2,0.0,46.2,0.0,0.0,0.0,56.04,0.0,51.28
3,,53.76,,,,61.97,,58.29
4,,60.78,,,,67.39,,64.07
5,,68.93,,,,71.37,,70.28
6,,71.15,,,,74.53,,72.87
7,,77.16,,,,76.82,,76.99
8,,81.21,,,,79.24,,80.13
9,0.0,66.25,0.0,0.0,0.0,69.21,0.0,67.81
