,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,0.0,33.04,0.0,0.0,0.0,36.38,0.0,34.79
1,,44.46,,,,41.9,,43.05
2,100.0,49.81,100.0,100.0,100.0,50.44,100.0,50.18
3,100.0,52.66,100.0,100.0,100.0,54.9,100.0,53.96
4,66.67,60.88,66.67,66.67,66.67,57.95,66.67,59.35
5,50.0,60.86,50.0,50.0,50.0,63.86,50.0,62.43
6,0.0,67.89,0.0,0.0,0.0,67.96,0.0,67.86
7,0.0,72.49,0.0,0.0,0.0,71.06,0.0,71.66
8,0.0,75.68,0.0,0.0,0.0,68.9,0.0,71.99
9,33.33,60.93,33.33,33.33,33.33,59.18,33.33,59.97
