,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,20.66,40.19,0.0
1,OTHER,19.74,35.0,0.0
2,NATIVE-AM,0.0,40.0,0.0
3,HISP-LT,39.22,34.15,0.0
4,ASIA-PI,27.27,44.44,50.0
5,WHITE,41.34,42.44,100.0
6,BLACK,17.55,33.81,20.0
