,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,0.0,66.6,0.0,0.0,0.0,69.62,0.0,68.07
1,,53.5,,,,54.83,,54.17
2,0.0,57.89,0.0,0.0,0.0,56.16,0.0,56.88
3,50.0,59.57,50.0,50.0,50.0,59.84,50.0,59.69
4,100.0,61.73,100.0,100.0,100.0,60.0,100.0,60.87
5,100.0,61.81,100.0,100.0,100.0,60.88,100.0,61.36
6,,59.62,,,,58.27,,58.9
7,,62.64,,,,64.61,,63.65
8,,68.72,,,,71.79,,70.2
9,,76.4,,,,67.14,,72.09
10,75.0,61.9,75.0,75.0,75.0,61.53,75.0,61.73
11,50.0,57.71,50.0,50.0,50.0,56.64,50.0,57.12
12,50.0,60.71,50.0,50.0,50.0,60.17,50.0,60.42
