,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,37.2,34.72,37.2,37.2,37.2,42.89,37.2,39.02
1,50.37,40.82,50.37,50.37,50.37,48.42,50.37,44.82
2,39.64,45.91,39.64,39.64,39.64,54.7,39.64,50.57
3,50.43,51.47,50.43,50.43,50.43,60.22,50.43,56.1
4,35.46,57.18,35.46,35.46,35.46,64.63,35.46,60.95
5,43.7,59.6,43.7,43.7,43.7,65.91,43.7,62.74
6,37.27,60.02,37.27,37.27,37.27,66.45,37.27,63.24
7,40.54,62.51,40.54,40.54,40.54,68.93,40.54,65.86
8,27.11,66.33,27.11,27.11,27.11,67.36,27.11,66.83
9,39.37,52.53,39.37,39.37,39.37,59.22,39.37,56.04
