,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,41.67,32.54,41.67,41.67,41.67,40.25,41.67,36.63
1,62.5,40.76,62.5,62.5,62.5,46.65,62.5,43.83
2,80.0,49.74,80.0,80.0,80.0,54.48,80.0,52.24
3,75.0,55.14,75.0,75.0,75.0,59.67,75.0,57.51
4,16.67,58.07,16.67,16.67,16.67,62.99,16.67,60.55
5,50.0,59.69,50.0,50.0,50.0,61.28,50.0,60.49
6,100.0,61.89,100.0,100.0,100.0,62.78,100.0,62.39
7,100.0,68.08,100.0,100.0,100.0,67.92,100.0,68.03
8,54.55,74.14,54.55,54.55,54.55,68.22,54.55,70.8
9,57.14,56.3,57.14,57.14,57.14,58.79,57.14,57.62
