,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,36.27,32.97,0.0
1,OTHER,66.67,66.67,0.0
2,NATIVE-AM,0.0,0.0,0.0
3,HISP-LT,44.44,46.67,0.0
4,ASIA-PI,50.0,75.0,0.0
5,WHITE,54.03,59.77,100.0
6,BLACK,48.77,65.43,0.0
