,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,34.38,75.0,0.0
1,OTHER,75.0,50.0,0.0
2,NATIVE-AM,0.0,0.0,0.0
3,HISP-LT,42.86,70.0,0.0
4,ASIA-PI,0.0,66.67,0.0
5,WHITE,75.86,78.28,0.0
6,BLACK,46.43,60.38,0.0
