ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2016 Presidential Primary,0.00,18.68,27.78,0.00,18.75,36.91,22.27,29.14
2016 Primary,0.00,8.40,2.94,0.00,6.67,16.26,4.93,12.30
2016 Primary Runoff,0.00,0.26,0.00,0.00,0.00,13.36,5.83,8.02
2016 General,33.33,54.52,69.23,0.00,31.25,65.43,47.81,59.88
2018 Primary,0.00,10.48,2.33,0.00,0.00,17.57,6.04,13.48
2018 Primary Runoff,25.00,1.45,4.65,0.00,0.00,12.87,3.42,7.86
2018 General,75.00,55.97,43.48,0.00,46.15,58.84,37.00,54.72
