ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,37.79,35.46,0.00,36.53
2016 Primary,26.71,25.44,0.00,26.02
2016 Primary Runoff,13.90,11.50,0.00,12.61
2016 General,65.88,69.74,0.00,67.93
2018 Primary,20.32,22.02,0.00,21.21
2018 Primary Runoff,16.57,14.83,0.00,15.65
2018 General,61.91,66.55,100.0,64.38
