ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,35.09,31.00,0.00,32.96
2016 Primary,17.51,19.16,0.00,18.38
2016 Primary Runoff,4.52,4.33,0.00,4.42
2016 General,58.27,61.51,0.00,59.96
2018 Primary,15.89,13.08,0.00,14.44
2018 Primary Runoff,11.70,9.60,0.00,10.62
2018 General,55.76,54.11,0.00,54.90
