RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,7.73,5.24,0.00,6.38
OTHER,8.82,20.00,0.00,14.86
NATIVE-AM,0.00,0.00,0.00,0.00
HISP-LT,10.81,12.96,0.00,12.09
ASIA-PI,9.33,7.04,0.00,8.02
WHITE,21.37,20.11,0.00,20.68
BLACK,19.50,26.27,0.00,23.67
TOTAL,17.87,17.69,0.00,17.77
