RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,3.09,8.90,0.00,5.82
OTHER,7.69,0.00,0.00,3.57
NATIVE-AM,0.00,0.00,0.00,0.00
HISP-LT,3.01,2.70,0.00,2.87
ASIA-PI,2.90,1.85,0.00,2.44
WHITE,24.82,22.51,0.00,23.57
BLACK,9.09,17.04,0.00,13.68
TOTAL,20.33,19.84,0.00,20.05
