RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,3.330,6.000,0.00,4.550
OTHER,0.00,0.00,0.00,0.00
NATIVE-AM,0.00,0.00,0.00,0.00
HISP-LT,0.00,0.00,0.00,0.00
ASIA-PI,0.00,0.00,0.00,0.00
WHITE,9.090,16.67,0.00,13.04
BLACK,18.57,27.55,0.00,23.50
TOTAL,17.44,26.47,0.00,22.35
