ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,34.95,34.12,0.00,34.51
2016 Primary,17.41,15.76,0.00,16.53
2016 Primary Runoff,7.21,4.84,0.00,5.94
2016 General,59.72,64.38,100.0,62.28
2018 Primary,19.62,18.34,0.00,18.88
2018 Primary Runoff,17.52,16.05,0.00,16.68
2018 General,53.20,59.79,0.00,56.74
