RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,5.44,3.26,0.0,4.32
OTHER,9.76,2.56,0.0,6.25
NATIVE-AM,25.0,0.0,0.0,11.11
HISP-LT,2.13,3.21,0.0,2.8
ASIA-PI,0.0,1.49,0.0,0.92
WHITE,11.38,9.15,0.0,10.17
BLACK,0.0,1.19,0.0,0.72
TOTAL,9.04,7.03,0.0,7.93
