RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,8.920,5.730,0.00,7.410
OTHER,8.330,4.550,0.00,5.880
NATIVE-AM,0.00,0.00,0.00,0.00
HISP-LT,9.520,7.410,0.00,8.330
ASIA-PI,2.630,0.00,0.00,0.990
WHITE,15.72,17.33,0.00,16.56
BLACK,5.500,4.930,0.00,5.160
TOTAL,13.60,14.08,0.00,13.84
