RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,19.44,17.86,100.0,20.00
OTHER,0.00,0.00,0.00,0.00
NATIVE-AM,0.00,0.00,0.00,0.00
HISP-LT,0.00,0.00,0.00,0.00
ASIA-PI,0.00,0.00,0.00,0.00
WHITE,27.54,24.21,0.00,25.73
BLACK,0.00,6.98,0.00,3.70
TOTAL,23.80,21.65,50.00,22.73
