RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,7.300,3.470,0.00,5.410
OTHER,0.00,0.00,0.00,0.00
NATIVE-AM,0.00,0.00,0.00,0.00
HISP-LT,2.500,2.130,0.00,2.300
ASIA-PI,0.00,0.00,0.00,0.00
WHITE,20.33,16.25,50.00,18.16
BLACK,0.980,1.350,0.00,1.210
TOTAL,13.89,10.35,33.33,11.94
