RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,5.36,5.63,0.00,5.48
OTHER,5.88,8.33,0.00,7.14
NATIVE-AM,0.00,0.00,0.00,0.00
HISP-LT,0.00,0.00,0.00,0.00
ASIA-PI,4.44,3.64,0.00,4.00
WHITE,14.62,15.13,0.00,14.88
BLACK,5.49,6.55,0.00,6.14
TOTAL,10.73,10.86,0.00,10.80
