RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,6.31,10.31,0.00,8.25
OTHER,10.00,0.00,0.00,3.70
NATIVE-AM,0.00,0.00,0.00,0.00
HISP-LT,11.43,7.89,0.00,9.59
ASIA-PI,0.00,0.00,0.00,0.00
WHITE,20.30,18.63,0.00,19.42
BLACK,3.72,5.05,0.00,4.43
TOTAL,17.91,16.76,0.00,17.30
