RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,1.79,4.55,0.00,3.28
OTHER,0.00,0.00,0.00,0.00
NATIVE-AM,0.00,0.00,0.00,0.00
HISP-LT,0.00,0.00,0.00,0.00
ASIA-PI,0.00,0.00,0.00,0.00
WHITE,15.66,15.01,0.00,15.30
BLACK,7.33,13.73,0.00,11.16
TOTAL,11.83,13.35,0.00,12.65
