RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,1.540,2.340,0.00,1.940
OTHER,4.550,0.00,0.00,2.330
NATIVE-AM,0.00,0.00,0.00,0.00
HISP-LT,0.00,0.00,100.0,0.790
ASIA-PI,0.00,3.120,0.00,1.690
WHITE,17.46,15.04,0.00,16.14
BLACK,1.450,3.300,0.00,2.520
TOTAL,3.970,4.750,25.00,4.440
