RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,4.440,12.04,0.00,8.590
OTHER,8.330,0.00,0.00,4.080
NATIVE-AM,50.00,0.00,0.00,25.00
HISP-LT,6.250,5.560,0.00,5.810
ASIA-PI,5.710,7.890,0.00,6.850
WHITE,26.36,29.15,100.0,27.97
BLACK,3.370,5.170,0.00,4.470
TOTAL,16.78,18.38,100.0,17.73
