RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,4.88,5.49,0.0,5.2
OTHER,11.11,0.0,0.0,5.26
NATIVE-AM,0.0,0.0,0.0,0.0
HISP-LT,4.0,0.0,0.0,1.59
ASIA-PI,0.0,9.52,0.0,5.13
WHITE,17.52,14.33,50.0,15.83
BLACK,2.81,3.39,0.0,3.16
TOTAL,13.53,10.75,50.0,12.01
