ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2016 Presidential Primary,25.64,24.50,30.53,0.00,27.50,40.84,29.30,38.94
2016 Primary,7.69,2.52,9.09,0.00,14.29,15.81,7.80,14.52
2016 Primary Runoff,0.00,0.00,5.05,0.00,4.76,4.81,2.42,4.43
2016 General,68.29,59.15,53.64,0.00,54.17,71.85,60.10,69.85
2018 Primary,11.36,9.74,14.17,0.00,15.91,14.31,8.90,13.63
2018 Primary Runoff,6.82,1.31,3.33,0.00,4.65,12.44,6.79,11.21
2018 General,54.17,62.16,44.17,33.33,60.47,64.50,43.31,61.71
