RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,16.67,0.00,0.00,10.00
OTHER,0.00,0.00,0.00,0.00
NATIVE-AM,0.00,0.00,0.00,0.00
HISP-LT,0.00,0.00,0.00,0.00
ASIA-PI,0.00,100.0,0.00,50.00
WHITE,42.42,37.76,0.00,40.10
BLACK,0.00,100.0,0.00,100.0
TOTAL,39.81,36.19,0.00,38.03
